2025-03-24T04:03:40+00:00 CRITICAL Uncaught Error: Call to a member function get_rating_count() on bool in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/comments.php:34 CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/comments.php","line":34},"backtrace":["","#0 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/comment-template.php(1623): require()","#1 /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/single.php(41): comments_template()","#2 /home/scbook/htdocs/schoolbook.com.ua/wp-includes/template-loader.php(106): include('/home/scbook/ht...')","#3 /home/scbook/htdocs/schoolbook.com.ua/wp-blog-header.php(19): require_once('/home/scbook/ht...')","#4 /home/scbook/htdocs/schoolbook.com.ua/index.php(17): require('/home/scbook/ht...')","#5 {main}","thrown"]}
2025-03-24T09:16:55+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:17:59+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:23:26+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:24:14+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:24:44+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:52:46+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:55:02+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:55:06+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:55:07+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2025-03-24T09:55:07+00:00 CRITICAL Cannot redeclare display_countdown_timer() (previously declared in /home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php:208) CONTEXT: {"error":{"type":1,"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/themes/anyweb_theme/templates/product-template.php","line":206},"backtrace":[{"file":"/home/scbook/htdocs/schoolbook.com.ua/wp-content/plugins/woocommerce/includes/class-woocommerce.php","line":359,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
